question,answer_llm,answer_orig,document
Can I still join the course if I found it late?,"Yes, you can still join the course if you found it late. If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it okay to start the course after it has already begun?,"Yes — you can start whenever you want, even after the course has already begun. The videos and GitHub materials are available, and you can follow along at your own pace while the homework form is open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join now, can I still get a certificate?","Yes, but if you want to receive a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to submit the project before submissions close to qualify for the certificate?,"Yes — to qualify for the certificate, you need to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What’s the deadline for project submission if I want the certificate?,"If you want the certificate, you need to submit your project **while the course is still accepting submissions**. The context does **not** give a specific deadline date for project submission.

Also, to count toward certification, you must **participate in the peer review of three peers in your cohort**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Do I actually need a confirmation email to start the LLM Zoomcamp, or am I already accepted?","No, you don’t need the confirmation email. You’re already accepted, and you can start learning and submitting homework while the form is open. Registration is just to gauge interest and isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I signed up for the course but never got an email, can I still begin the lessons and do homework?","Yes, you can still begin the lessons and do the homework. The course says you can join even if you just discovered it.

If you want a certificate, though, you need to submit your project while submissions are still open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there a registration list that gets checked before homework submissions are accepted?,"No. You can submit homework without registering, and submissions are not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is the point of registering for the LLM Zoomcamp if it doesn’t affect access?,"Registration is just to gauge interest before the start date. It doesn’t affect access, and you can start learning and submitting homework without registering as long as the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Can I just start the course and submit assignments while the homework form is open, even without any registration confirmation?","Yes. You can start the course and submit homework while the form is open, even without any registration confirmation. Registration is just to gauge interest, and it is not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"How do I join the office hours or live workshop if I’m a student, and where do I find the stream link?","If you’re a student, you join via **YouTube Live**, not the Zoom link.

Where to find the stream link:
- It’s posted in the **announcements channel on Telegram and Slack** before the session starts.
- You can also watch on the **DataTalksClub YouTube Channel**.

For questions:
- Use **Slido** — the link is pinned in the chat when the session is live.
- Don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is there a Zoom URL for the live sessions, or do students use something else to watch?","There isn’t a Zoom URL for students to join the live sessions.

Students watch via **YouTube Live**, and questions are submitted through **Slido** (the link is pinned in chat when live). The video URL is also posted in the **announcements channel on Telegram and Slack** before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where is the workshop video announced before it starts, and can I watch it on YouTube?","The workshop video is posted in the announcements channel on Telegram and Slack before it begins. Yes, you can also watch it live on the DataTalksClub YouTube Channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If I want to ask questions during office hours, should I use the chat or another tool?","Use the chat only for announcements, not for asking questions during office hours. Students should submit questions via **Slido** during live office hours/workshops, and the link is usually pinned in the chat when live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Why can’t students get the Zoom link for live sessions, and how are questions handled instead?","Students can’t get the Zoom link because it’s only published to instructors, presenters, and TAs.

Instead, students join via YouTube Live and ask questions through Slido, with the Slido link pinned in the chat when the session is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
