question,document
Can I still join the course if I found it late?,74eb249bbf
Is it okay to start the course after it has already begun?,74eb249bbf
"If I join now, can I still get a certificate?",74eb249bbf
Do I need to submit the project before submissions close to qualify for the certificate?,74eb249bbf
What’s the deadline for project submission if I want the certificate?,74eb249bbf
"Do I actually need a confirmation email to start the LLM Zoomcamp, or am I already accepted?",977bf7786c
"If I signed up for the course but never got an email, can I still begin the lessons and do homework?",977bf7786c
Is there a registration list that gets checked before homework submissions are accepted?,977bf7786c
What is the point of registering for the LLM Zoomcamp if it doesn’t affect access?,977bf7786c
"Can I just start the course and submit assignments while the homework form is open, even without any registration confirmation?",977bf7786c
"How do I join the office hours or live workshop if I’m a student, and where do I find the stream link?",489dd1c9d9
"Is there a Zoom URL for the live sessions, or do students use something else to watch?",489dd1c9d9
"Where is the workshop video announced before it starts, and can I watch it on YouTube?",489dd1c9d9
"If I want to ask questions during office hours, should I use the chat or another tool?",489dd1c9d9
"Why can’t students get the Zoom link for live sessions, and how are questions handled instead?",489dd1c9d9
"Where should I begin if I’m just starting the LLM Zoomcamp, and what pages or repo should I check first?",04919992b3
"Can I join the course at any time, or is there a fixed start date I need to wait for?",04919992b3
What’s the usual weekly routine for this course from watching lessons to turning in homework?,04919992b3
"Do I need to follow the videos, notebooks, and homework in a specific order, or can I mix them up?",04919992b3
"How is the homework related to the lesson material, and is it using the same exact tasks and data?",04919992b3
How do I find my name on the leaderboard if I can’t spot it anywhere?,c2903069a0
"Why am I shown a random display name on the leaderboard, and can I change it?",c2903069a0
Where can I check what my current course display name is?,c2903069a0
What should I do if I want a different nickname on the leaderboard instead of the auto-generated one?,c2903069a0
"Which name ends up on the certificate, and do I need to update anything so it isn’t the random one?",c2903069a0
Can I take this course at my own pace and still earn the certificate?,69d122f12e
Is there any way to get a certificate if I don't join the live cohort?,69d122f12e
Why don't they give certificates for the self-paced version of the course?,69d122f12e
Do I need to do peer reviews to qualify for the course certificate?,69d122f12e
Can I still review other students' capstone projects after the course has ended and get certified?,69d122f12e
Do I still qualify for the certificate if I missed the first homework?,9f689c185f
"Is homework actually required to get the course certificate, or is the capstone enough?",9f689c185f
"If I skip some homework assignments, can I still earn the certificate at the end?",9f689c185f
What do I need to pass in order to receive the certificate for this course?,9f689c185f
"Does missing homework affect my chance to get certified, or is it mainly for practice and leaderboard points?",9f689c185f
Why does this homework keep changing before the deadline?,96286b4be4
"If a homework title has [DRAFT], what does that actually mean?",96286b4be4
How can I tell when a homework assignment is really ready to do?,96286b4be4
Is it safe to start working on homework early if it still says DRAFT?,96286b4be4
Can the homework content still be updated even after the form is already open?,96286b4be4
When is the next run of the course scheduled for?,bd31146b0e
Do you know when this course will be offered again?,bd31146b0e
What’s the next time this course is starting?,bd31146b0e
"Is there a planned future session for this course, and when is it?",bd31146b0e
Can you tell me the next course offering date?,bd31146b0e
Is there a place I should start from to find the course videos and materials?,31456f4b5f
Where do I click to see the lecture videos for each lesson?,31456f4b5f
"Are the videos somewhere inside the lesson folders, or do I need to search on YouTube?",31456f4b5f
What’s the best link to use if I want the most up-to-date course content?,31456f4b5f
"Do I need to follow the YouTube playlist, or is the GitHub repo the main source?",31456f4b5f
How do I keep track of the LLM Zoomcamp syllabus and what’s due next?,20c5a1347e
"Is there a central place to see homework, deadlines, and my progress in the course?",20c5a1347e
Where should I go if I want to follow the current cohort structure for LLM Zoomcamp?,20c5a1347e
What platform does LLM Zoomcamp use for course updates and homework tracking?,20c5a1347e
Is there a course page or dashboard for checking deadlines and staying on top of the class?,20c5a1347e
Do you guys have live sessions or office hours for every module in this course?,d65e05bd7a
"Are the module lessons all live, or are they mostly pre-recorded materials in the repo?",d65e05bd7a
"If I get stuck on something, where should I ask for help and how should I do it?",d65e05bd7a
"Will there be any announced live sessions during the course, or is there a regular schedule?",d65e05bd7a
Is there an optional paid community with Zoom office hours or extra support for LLM Zoomcamp?,d65e05bd7a
Can I count my Bluesky posts toward learning in public credits?,dbf5369006
Does Bluesky qualify for the learning in public requirement in this course?,dbf5369006
Are posts on Bluesky accepted as learning in public credits?,dbf5369006
"If I share my course progress on Bluesky, will that be credited?",dbf5369006
Is Bluesky allowed for earning learning in public credit?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you share the link to the LLM Zoomcamp Telegram group?,054f3fd58f
Where do I join the Telegram channel for announcements in LLM Zoomcamp?,054f3fd58f
"Is there a Telegram channel for the course, and what’s it used for?",054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
Why do I get a different number of FAQ records than what the videos show?,e2d595f23c
Is the FAQ dataset supposed to match the course videos exactly?,e2d595f23c
Why does the dataset count keep changing when I run the code now?,e2d595f23c
Did the FAQ data get updated after the videos were recorded?,e2d595f23c
Why am I seeing more or fewer questions in the FAQ file compared to the lecture?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
"Does a late deadline mean I’m locked out of submitting, or only when the submission form closes?",a9353fadfe
"If the homework page still lets me submit, is it okay to send my answers even after the due date?",a9353fadfe
When exactly do submissions stop being accepted — at the deadline or when the form is closed?,a9353fadfe
"The assignment deadline is over, but the form is open. Should I submit now or is it too late?",a9353fadfe
Can I still turn in a homework if the deadline already passed but the submission form is open?,cdc3b285e5
Do you ever give deadline extensions for homework in the course?,cdc3b285e5
What happens if I miss a homework deadline completely — can I submit late after the form closes?,cdc3b285e5
"Is homework required for getting the certificate, or only the Capstone project matters?",cdc3b285e5
"If I skip a homework, will it hurt my certificate or only my leaderboard position?",cdc3b285e5
"Will the name I enter for the certificate be kept private, or can other people see it online?",651ba06b34
"Is the certificate name shared with third parties, or is it only printed on my certificate?",651ba06b34
"Does the public leaderboard show my real certificate name, or a separate nickname instead?",651ba06b34
Where do I change the certificate name and the public display name in my course profile?,651ba06b34
Can I keep my real name off the leaderboard but still have it appear on the certificate?,651ba06b34
Why don't we use LangChain in this course from the start?,b7cdde6b25
Is there a reason we build the RAG pieces ourselves instead of using a framework?,b7cdde6b25
What should I learn first before adding tools like LangChain?,b7cdde6b25
"Why does the course make us do prompting, retrieval, indexing, and evaluation manually?",b7cdde6b25
Wouldn't it be easier to just use LangChain for the whole project?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
"What does the OpenAI ""Insufficient credits"" error mean in responses.create?",f5df151c59
How can I fix the OpenAI API error that appears after calling responses.create?,f5df151c59
Is the responses.create command failing because my OpenAI account has no credits left?,f5df151c59
What should I check if OpenAI responses.create returns an insufficient credits message?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does the OpenAI API have any free quota, or do I need to add billing before I can use it?",152af39a53
What should I do to fix the ‘insufficient_quota’ error when calling `responses.create`?,152af39a53
"After I add credits to my OpenAI account, do I need to change my API key or can I keep using the same one?",152af39a53
How do I know which OpenAI models are available on my account when I set the model name?,152af39a53
How much should I expect to spend on the OpenAI API for this course?,554d0eb78b
Do I need to put a lot of money into my OpenAI account to follow along?,554d0eb78b
"What’s the minimum amount I can recharge on OpenAI, and is that enough for the course?",554d0eb78b
Will using the OpenAI API in the course cost more than a few cents?,554d0eb78b
Is $5 enough to get started with the OpenAI API for the course?,554d0eb78b
